fecha;cod_ine;CCAA;mascarillas_acumulado_desde_2020-03-10;;;;
22/03/2020;1;ANDALUCÍA;444083;;;;
22/03/2020;2;ARAGÓN;72455;;;;
22/03/2020;3;ASTURIAS;60229;;;;
22/03/2020;4;BALEARES;49476;;;;
22/03/2020;5;CANARIAS;124165;;;;
22/03/2020;6;CANTABRIA;27589;;;;
22/03/2020;8;CASTILLA LA MANCHA;272718;;;;
22/03/2020;7;CASTILLA Y LEÓN;346365;;;;
22/03/2020;9;CATALUÑA;513393;;;;
22/03/2020;11;EXTREMADURA;52362;;;;
22/03/2020;12;GALICIA;117907;;;;
22/03/2020;17;LA RIOJA;56210;;;;
22/03/2020;13;MADRID;1212261;;;;
22/03/2020;14;MURCIA;56285;;;;
22/03/2020;15;NAVARRA;114816;;;;
22/03/2020;16;PAÍS VASCO;190734;;;;
22/03/2020;10;C. VALENCIANA;278308;;;;
22/03/2020;;INGESA ;19341;;;;
22/03/2020;18;CEUTA;22871;;;;
22/03/2020;19;MELILLA;14521;;;;
26/03/2020;1;ANDALUCÍA;798554;;;;
26/03/2020;2;ARAGÓN;153294;;;;
26/03/2020;3;ASTURIAS;107453;;;;
26/03/2020;4;BALEARES;99016;;;;
26/03/2020;5;CANARIAS;192709;;;;
26/03/2020;6;CANTABRIA;50967;;;;
26/03/2020;8;CASTILLA LA MANCHA;389318;;;;
26/03/2020;7;CASTILLA Y LEÓN;480613;;;;
26/03/2020;9;CATALUÑA;887073;;;;
26/03/2020;11;EXTREMADURA;122233;;;;
26/03/2020;12;GALICIA;226733;;;;
26/03/2020;17;LA RIOJA;96042;;;;
26/03/2020;13;MADRID;1922068;;;;
26/03/2020;14;MURCIA;135512;;;;
26/03/2020;15;NAVARRA;161008;;;;
26/03/2020;16;PAÍS VASCO;380315;;;;
26/03/2020;10;C. VALENCIANA;480753;;;;
26/03/2020;18;CEUTA;36478;;;;
26/03/2020;19;MELILLA;28128;;;;
01/04/2020;1;ANDALUCÍA;1630105;;;;
01/04/2020;2;ARAGÓN;386960;;;;
01/04/2020;3;ASTURIAS;287741;;;;
01/04/2020;4;BALEARES;272143;;;;
01/04/2020;5;CANARIAS;418511;;;;
01/04/2020;6;CANTABRIA;182298;;;;
01/04/2020;8;CASTILLA LA MANCHA;1009483;;;;
01/04/2020;7;CASTILLA Y LEÓN;1149224;;;;
01/04/2020;9;CATALUÑA;2616288;;;;
01/04/2020;11;EXTREMADURA;326067;;;;
01/04/2020;12;GALICIA;640216;;;;
01/04/2020;17;LA RIOJA;305638;;;;
01/04/2020;13;MADRID;4550904;;;;
01/04/2020;14;MURCIA;291808;;;;
01/04/2020;15;NAVARRA;390633;;;;
01/04/2020;16;PAÍS VASCO;1007465;;;;
01/04/2020;10;C. VALENCIANA;1210914;;;;
01/04/2020;18;CEUTA;68279;;;;
01/04/2020;19;MELILLA;66794;;población-España;;%-obtención
;;;27605827;;47100396;;58,61060489
